Titration Data Only,,,,,,,,,,,,,,,,,,,
,205,,1.36,,,,,244.9,,0.02,,,17.6,,,,0.3,,
,208,,1.38,,,,,245.1,,0.02,,,17.6,,,,0.2,,
,211,,1.4,,,,,245.5,,0.02,,,17.6,,,,0.4,,
,214,,1.42,,,,,245.8,,0.02,,,17.6,,,,0.3,,
,217,,1.44,,,,,246,,0.02,,,17.6,,,,0.2,,
,220,,1.46,,,,,246.4,,0.02,,,17.7,,,,0.4,,
,223,,1.48,,,,,246.6,,0.02,,,17.7,,,,0.2,,
,226,,1.5,,,,,247,,0.02,,,17.7,,,,0.4,,
,229,,1.52,,,,,247.3,,0.02,,,17.7,,,,0.3,,
,232,,1.54,,,,,247.6,,0.02,,,17.7,,,,0.3,,
,235,,1.56,,,,,247.9,,0.02,,,17.7,,,,0.3,,
,238,,1.58,,,,,248.1,,0.02,,,17.7,,,,0.2,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 5/12",,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 5/12",,,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,,
,1,,,,-59.3,,,,,,17.3,,,,,,,,
,2,,,,-59.3,,,,,,17.3,,,,0,,,,
,3,,,,-59.3,,,,,,17.3,,,,0,,,,
,4,,,,-59.3,,,,,,17.3,,,,0,,,,
,5,,,,-59.3,,,,,,17.3,,,,0,,,,
,6,,,,-59.3,,,,,,17.3,,,,0,,,,
,7,,,,-59.3,,,,,,17.3,,,,0,,,,
,8,,,,-59.3,,,,,,17.3,,,,0,,,,
,9,,,,-59.3,,,,,,17.3,,,,0,,,,
,10,,,,-59.4,,,,,,17.3,,,,-0.1,,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 5/12",,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 5/12",,,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,,dV,,Temp.,,dE,,,,EP
,[s],,[mL],,,,,[mV],,,[mL],,[°C],,[mV],,,,
,0,,0,,,,,-59.5,,,,,17.4,,,,,,
,1,,0.001,,,,,-59.5,,,0.001,,17.3,,0,,,,
,2,,0.005,,,,,-59.5,,,0.004,,17.4,,0,,,,
,3,,0.011,,,,,-59.3,,,0.006,,17.4,,0.2,,,,
,4,,0.0195,,,,,-58.7,,,0.0085,,17.4,,0.6,,,,
,5,,0.0335,,,,,-57.1,,,0.014,,17.4,,1.6,,,,
,6,,0.054,,,,,-54.2,,,0.0205,,17.4,,2.9,,,,
,7,,0.078,,,,,-50.2,,,0.024,,17.4,,4,,,,
,8,,0.1115,,,,,-43.7,,,0.0335,,17.4,,6.5,,,,
,9,,0.153,,,,,-35.1,,,0.0415,,17.4,,8.6,,,,
,10,,0.204,,,,,-23.5,,,0.051,,17.4,,11.6,,,,
,11,,0.266,,,,,-11.1,,,0.062,,17.4,,12.4,,,,
,12,,0.3405,,,,,1.7,,,0.0745,,17.4,,12.8,,,,
,13,,0.417,,,,,15.8,,,0.0765,,17.4,,14.1,,,,
,14,,0.516,,,,,31,,,0.099,,17.4,,15.2,,,,
,15,,0.6275,,,,,45.3,,,0.1115,,17.4,,14.3,,,,
,16,,0.7525,,,,,63.7,,,0.125,,17.4,,18.4,,,,
,17,,0.8895,,,,,79.3,,,0.137,,17.4,,15.6,,,,
,18,,1.031,,,,,103.2,,,0.1415,,17.4,,23.9,,,,
,19,,1.0375,,,,,113.7,,,0.0065,,17.4,,10.5,,,,
,20,,1.04,,,,,107.3,,,0.0025,,17.4,,-6.4,,,,
,21,,1.044,,,,,104.2,,,0.004,,17.4,,-3.1,,,,
,22,,1.05,,,,,104.5,,,0.006,,17.4,,0.3,,,,
,23,,1.059,,,,,106.7,,,0.009,,17.4,,2.2,,,,
,24,,1.072,,,,,110.1,,,0.013,,17.4,,3.4,,,,
,25,,1.0865,,,,,116.2,,,0.0145,,17.4,,6.1,,,,
,26,,1.105,,,,,123.2,,,0.0185,,17.4,,7,,,,
,27,,1.1255,,,,,129.8,,,0.0205,,17.4,,6.6,,,,
,28,,1.147,,,,,137.3,,,0.0215,,17.4,,7.5,,,,
,29,,1.167,,,,,144.6,,,0.02,,17.4,,7.3,,,,
,30,,1.1795,,,,,149.6,,,0.0125,,17.4,,5,,,,
,31,,1.1905,,,,,154.2,,,0.011,,17.4,,4.6,,,,
,32,,1.203,,,,,158.5,,,0.0125,,17.4,,4.3,,,,
,33,,1.216,,,,,163.3,,,0.013,,17.4,,4.8,,,,
,34,,1.226,,,,,167.5,,,0.01,,17.4,,4.2,,,,
,35,,1.2325,,,,,170.3,,,0.0065,,17.4,,2.8,,,,
,36,,1.2385,,,,,172,,,0.006,,17.4,,1.7,,,,
,37,,1.246,,,,,173.9,,,0.0075,,17.4,,1.9,,,,
,38,,1.2555,,,,,175.8,,,0.0095,,17.4,,1.9,,,,
,39,,1.2665,,,,,178,,,0.011,,17.4,,2.2,,,,
,40,,1.2765,,,,,180.4,,,0.01,,17.4,,2.4,,,,
,41,,1.283,,,,,182.2,,,0.0065,,17.4,,1.8,,,,
,42,,1.287,,,,,183.5,,,0.004,,17.4,,1.3,,,,
,43,,1.292,,,,,184.5,,,0.005,,17.4,,1,,,,
,44,,1.298,,,,,185.4,,,0.006,,17.4,,0.9,,,,
,45,,1.3055,,,,,186.6,,,0.0075,,17.4,,1.2,,,,
,46,,1.313,,,,,187.9,,,0.0075,,17.4,,1.3,,,,
,47,,1.318,,,,,188.8,,,0.005,,17.4,,0.9,,,,
,48,,1.3205,,,,,189.7,,,0.0025,,17.4,,0.9,,,,
,49,,1.323,,,,,190.3,,,0.0025,,17.4,,0.6,,,,
,50,,1.3265,,,,,190.7,,,0.0035,,17.4,,0.4,,,,
,51,,1.3305,,,,,191.2,,,0.004,,17.4,,0.5,,,,
,52,,1.3355,,,,,191.9,,,0.005,,17.4,,0.7,,,,
,53,,1.3395,,,,,192.3,,,0.004,,17.4,,0.4,,,,
,54,,1.3415,,,,,192.7,,,0.002,,17.4,,0.4,,,,
,55,,1.344,,,,,193.1,,,0.0025,,17.4,,0.4,,,,
,56,,1.3465,,,,,193.4,,,0.0025,,17.4,,0.3,,,,
,57,,1.3495,,,,,193.7,,,0.003,,17.4,,0.3,,,,
,58,,1.352,,,,,194.1,,,0.0025,,17.4,,0.4,,,,
,59,,1.354,,,,,194.3,,,0.002,,17.4,,0.2,,,,
,60,,1.3565,,,,,194.6,,,0.0025,,17.4,,0.3,,,,
,61,,1.358,,,,,194.8,,,0.0015,,17.4,,0.2,,,,
,62,,1.359,,,,,195.1,,,0.001,,17.4,,0.3,,,,
,63,,1.3615,,,,,195.2,,,0.0025,,17.4,,0.1,,,,
,64,,1.3635,,,,,195.6,,,0.002,,17.4,,0.4,,,,
,65,,1.364,,,,,195.7,,,0.0005,,17.4,,0.1,,,,
,66,,1.3655,,,,,195.8,,,0.0015,,17.4,,0.1,,,,
,67,,1.367,,,,,196,,,0.0015,,17.4,,0.2,,,,
,,,1.367,,,,,196,,,,,,,,,,,EP
,68,,1.368,,,,,196.1,,,0.001,,17.4,,0.1,,,,
,69,,1.3685,,,,,196.2,,,0.0005,,17.4,,0.1,,,,
,70,,1.3685,,,,,196.3,,,0,,17.4,,0.1,,,,
,71,,1.3685,,,,,196.4,,,0,,17.4,,0.1,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 5/12",,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 5/12",,,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],,
,0,,0,,,,,196.7,,,,,17.7,,,,,,
,3,,0.02,,,,,198.3,,0.02,,,17.7,,,,1.6,,
,6,,0.04,,,,,200.3,,0.02,,,17.7,,,,2,,
,9,,0.06,,,,,202.1,,0.02,,,17.7,,,,1.8,,
,12,,0.08,,,,,203.9,,0.02,,,17.7,,,,1.8,,
,15,,0.1,,,,,205.7,,0.02,,,17.7,,,,1.8,,
,18,,0.12,,,,,207.3,,0.02,,,17.7,,,,1.6,,
,21,,0.14,,,,,208.7,,0.02,,,17.7,,,,1.4,,
,24,,0.16,,,,,209.9,,0.02,,,17.7,,,,1.2,,
,27,,0.18,,,,,211.2,,0.02,,,17.7,,,,1.3,,
,30,,0.2,,,,,212.4,,0.02,,,17.7,,,,1.2,,
,33,,0.22,,,,,213.7,,0.02,,,17.7,,,,1.3,,
,36,,0.24,,,,,214.9,,0.02,,,17.7,,,,1.2,,
,39,,0.26,,,,,216,,0.02,,,17.7,,,,1.1,,
,42,,0.28,,,,,217,,0.02,,,17.7,,,,1,,
,45,,0.3,,,,,218.1,,0.02,,,17.7,,,,1.1,,
,48,,0.32,,,,,219,,0.02,,,17.7,,,,0.9,,
,51,,0.34,,,,,219.9,,0.02,,,17.7,,,,0.9,,
,54,,0.36,,,,,220.8,,0.02,,,17.7,,,,0.9,,
,57,,0.38,,,,,221.6,,0.02,,,17.7,,,,0.8,,
,60,,0.4,,,,,222.4,,0.02,,,17.7,,,,0.8,,
,64,,0.42,,,,,223.2,,0.02,,,17.7,,,,0.8,,
,66,,0.44,,,,,224,,0.02,,,17.7,,,,0.8,,
,70,,0.46,,,,,224.7,,0.02,,,17.7,,,,0.7,,
,72,,0.48,,,,,225.5,,0.02,,,17.7,,,,0.8,,
,76,,0.5,,,,,226.2,,0.02,,,17.7,,,,0.7,,
,78,,0.52,,,,,226.9,,0.02,,,17.7,,,,0.7,,
,82,,0.54,,,,,227.6,,0.02,,,17.7,,,,0.7,,
,84,,0.56,,,,,228.1,,0.02,,,17.7,,,,0.5,,
,88,,0.58,,,,,228.8,,0.02,,,17.7,,,,0.7,,
,91,,0.6,,,,,229.4,,0.02,,,17.7,,,,0.6,,
,94,,0.62,,,,,230,,0.02,,,17.7,,,,0.6,,
,97,,0.64,,,,,230.6,,0.02,,,17.7,,,,0.6,,
,100,,0.66,,,,,231.2,,0.02,,,17.7,,,,0.6,,
,103,,0.68,,,,,231.7,,0.02,,,17.7,,,,0.5,,
,106,,0.7,,,,,232.3,,0.02,,,17.7,,,,0.6,,
,109,,0.72,,,,,232.9,,0.02,,,17.7,,,,0.6,,
,112,,0.74,,,,,233.4,,0.02,,,17.7,,,,0.5,,
,115,,0.76,,,,,233.8,,0.02,,,17.7,,,,0.4,,
,118,,0.78,,,,,234.3,,0.02,,,17.7,,,,0.5,,
,121,,0.8,,,,,234.8,,0.02,,,17.7,,,,0.5,,
,124,,0.82,,,,,235.3,,0.02,,,17.7,,,,0.5,,
,127,,0.84,,,,,235.8,,0.02,,,17.7,,,,0.5,,
,130,,0.86,,,,,236.4,,0.02,,,17.7,,,,0.6,,
,133,,0.88,,,,,236.8,,0.02,,,17.7,,,,0.4,,
,136,,0.9,,,,,237.3,,0.02,,,17.7,,,,0.5,,
,139,,0.92,,,,,237.7,,0.02,,,17.7,,,,0.4,,
,142,,0.94,,,,,238.2,,0.02,,,17.7,,,,0.5,,
,145,,0.96,,,,,238.6,,0.02,,,17.7,,,,0.4,,
,148,,0.98,,,,,239,,0.02,,,17.7,,,,0.4,,
,151,,1,,,,,239.4,,0.02,,,17.7,,,,0.4,,
,154,,1.02,,,,,239.8,,0.02,,,17.7,,,,0.4,,
,157,,1.04,,,,,240.2,,0.02,,,17.7,,,,0.4,,
,160,,1.06,,,,,240.5,,0.02,,,17.7,,,,0.3,,
,163,,1.08,,,,,241,,0.02,,,17.7,,,,0.5,,
,166,,1.1,,,,,241.3,,0.02,,,17.7,,,,0.3,,
,169,,1.12,,,,,241.8,,0.02,,,17.7,,,,0.5,,
,172,,1.14,,,,,242.2,,0.02,,,17.7,,,,0.4,,
,175,,1.16,,,,,242.5,,0.02,,,17.7,,,,0.3,,
,178,,1.18,,,,,242.8,,0.02,,,17.7,,,,0.3,,
,181,,1.2,,,,,243.1,,0.02,,,17.7,,,,0.3,,
,184,,1.22,,,,,243.4,,0.02,,,17.7,,,,0.3,,
,187,,1.24,,,,,243.8,,0.02,,,17.7,,,,0.4,,
,190,,1.26,,,,,244.2,,0.02,,,17.7,,,,0.4,,
,193,,1.28,,,,,244.5,,0.02,,,17.7,,,,0.3,,
,196,,1.3,,,,,244.9,,0.02,,,17.7,,,,0.4,,
,199,,1.32,,,,,245.2,,0.02,,,17.7,,,,0.3,,
,202,,1.34,,,,,245.5,,0.02,,,17.7,,,,0.3,,
,205,,1.36,,,,,245.8,,0.02,,,17.7,,,,0.3,,
,208,,1.38,,,,,246.1,,0.02,,,17.7,,,,0.3,,
,211,,1.4,,,,,246.4,,0.02,,,17.7,,,,0.3,,
,214,,1.42,,,,,246.8,,0.02,,,17.7,,,,0.4,,
,217,,1.44,,,,,247.1,,0.02,,,17.7,,,,0.3,,
,220,,1.46,,,,,247.3,,0.02,,,17.8,,,,0.2,,
,223,,1.48,,,,,247.6,,0.02,,,17.8,,,,0.3,,
,226,,1.5,,,,,247.9,,0.02,,,17.8,,,,0.3,,
,229,,1.52,,,,,248.2,,0.02,,,17.8,,,,0.3,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 6/12",,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 6/12",,,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,,
,1,,,,-59.4,,,,,,17.4,,,,,,,,
,2,,,,-59.4,,,,,,17.4,,,,0,,,,
,3,,,,-59.5,,,,,,17.4,,,,-0.1,,,,
,4,,,,-59.5,,,,,,17.4,,,,0,,,,
,5,,,,-59.5,,,,,,17.4,,,,0,,,,
,6,,,,-59.5,,,,,,17.4,,,,0,,,,
,7,,,,-59.5,,,,,,17.4,,,,0,,,,
,8,,,,-59.5,,,,,,17.4,,,,0,,,,
,9,,,,-59.5,,,,,,17.4,,,,0,,,,
,10,,,,-59.5,,,,,,17.4,,,,0,,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 6/12",,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 6/12",,,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,,dV,,Temp.,,dE,,,,EP
,[s],,[mL],,,,,[mV],,,[mL],,[°C],,[mV],,,,
,0,,0,,,,,-59.6,,,,,17.4,,,,,,
,1,,0.001,,,,,-59.7,,,0.001,,17.4,,-0.1,,,,
,2,,0.005,,,,,-59.7,,,0.004,,17.4,,0,,,,
,3,,0.011,,,,,-59.4,,,0.006,,17.4,,0.3,,,,
,4,,0.02,,,,,-58.7,,,0.009,,17.4,,0.7,,,,
,5,,0.0345,,,,,-57,,,0.0145,,17.4,,1.7,,,,
,6,,0.053,,,,,-54.7,,,0.0185,,17.4,,2.3,,,,
,7,,0.0805,,,,,-50.3,,,0.0275,,17.4,,4.4,,,,
,8,,0.115,,,,,-43.8,,,0.0345,,17.4,,6.5,,,,
,9,,0.157,,,,,-34.7,,,0.042,,17.4,,9.1,,,,
,10,,0.21,,,,,-22.5,,,0.053,,17.4,,12.2,,,,
,11,,0.2725,,,,,-9.6,,,0.0625,,17.4,,12.9,,,,
,12,,0.34,,,,,2.1,,,0.0675,,17.4,,11.7,,,,
,13,,0.4265,,,,,16.2,,,0.0865,,17.4,,14.1,,,,
,14,,0.526,,,,,33.8,,,0.0995,,17.4,,17.6,,,,
,15,,0.639,,,,,46.6,,,0.113,,17.4,,12.8,,,,
,16,,0.764,,,,,61.8,,,0.125,,17.4,,15.2,,,,
,17,,0.901,,,,,80.2,,,0.137,,17.4,,18.4,,,,
,18,,1.035,,,,,103.8,,,0.134,,17.4,,23.6,,,,
,19,,1.0495,,,,,112.7,,,0.0145,,17.4,,8.9,,,,
,20,,1.0525,,,,,105.6,,,0.003,,17.4,,-7.1,,,,
,21,,1.0565,,,,,102.3,,,0.004,,17.4,,-3.3,,,,
,22,,1.0625,,,,,102.4,,,0.006,,17.4,,0.1,,,,
,23,,1.0715,,,,,104.9,,,0.009,,17.4,,2.5,,,,
,24,,1.083,,,,,108.5,,,0.0115,,17.4,,3.6,,,,
,25,,1.0995,,,,,114.4,,,0.0165,,17.4,,5.9,,,,
,26,,1.118,,,,,121,,,0.0185,,17.4,,6.6,,,,
,27,,1.1385,,,,,127.8,,,0.0205,,17.4,,6.8,,,,
,28,,1.161,,,,,134.9,,,0.0225,,17.4,,7.1,,,,
,29,,1.182,,,,,141.2,,,0.021,,17.4,,6.3,,,,
,30,,1.1965,,,,,146,,,0.0145,,17.4,,4.8,,,,
,31,,1.2135,,,,,152.5,,,0.017,,17.4,,6.5,,,,
,32,,1.226,,,,,158.8,,,0.0125,,17.4,,6.3,,,,
,33,,1.232,,,,,162.4,,,0.006,,17.4,,3.6,,,,
,34,,1.2375,,,,,164.6,,,0.0055,,17.4,,2.2,,,,
,35,,1.244,,,,,166.3,,,0.0065,,17.4,,1.7,,,,
,36,,1.252,,,,,168.4,,,0.008,,17.4,,2.1,,,,
,37,,1.263,,,,,171.2,,,0.011,,17.4,,2.8,,,,
,38,,1.2745,,,,,174.1,,,0.0115,,17.4,,2.9,,,,
,39,,1.284,,,,,176.7,,,0.0095,,17.4,,2.6,,,,
,40,,1.2915,,,,,178.9,,,0.0075,,17.4,,2.2,,,,
,41,,1.2985,,,,,180.4,,,0.007,,17.4,,1.5,,,,
,42,,1.3055,,,,,182,,,0.007,,17.4,,1.6,,,,
,43,,1.3135,,,,,183.4,,,0.008,,17.4,,1.4,,,,
,44,,1.322,,,,,184.8,,,0.0085,,17.4,,1.4,,,,
,45,,1.3305,,,,,186.5,,,0.0085,,17.4,,1.7,,,,
,46,,1.3345,,,,,187.7,,,0.004,,17.4,,1.2,,,,
,47,,1.337,,,,,188.4,,,0.0025,,17.5,,0.7,,,,
,48,,1.34,,,,,188.8,,,0.003,,17.5,,0.4,,,,
,49,,1.344,,,,,189.2,,,0.004,,17.5,,0.4,,,,
,50,,1.3495,,,,,189.9,,,0.0055,,17.5,,0.7,,,,
,51,,1.3565,,,,,190.5,,,0.007,,17.5,,0.6,,,,
,52,,1.3635,,,,,191.3,,,0.007,,17.5,,0.8,,,,
,53,,1.367,,,,,192,,,0.0035,,17.5,,0.7,,,,
,54,,1.369,,,,,192.6,,,0.002,,17.5,,0.6,,,,
,55,,1.3715,,,,,193,,,0.0025,,17.5,,0.4,,,,
,56,,1.3745,,,,,193.3,,,0.003,,17.5,,0.3,,,,
,57,,1.3775,,,,,193.5,,,0.003,,17.5,,0.2,,,,
,58,,1.381,,,,,193.9,,,0.0035,,17.5,,0.4,,,,
,59,,1.383,,,,,194.3,,,0.002,,17.5,,0.4,,,,
,60,,1.3855,,,,,194.6,,,0.0025,,17.5,,0.3,,,,
,61,,1.3865,,,,,194.8,,,0.001,,17.5,,0.2,,,,
,62,,1.387,,,,,194.9,,,0.0005,,17.5,,0.1,,,,
,63,,1.39,,,,,195.1,,,0.003,,17.5,,0.2,,,,
,64,,1.3925,,,,,195.3,,,0.0025,,17.5,,0.2,,,,
,65,,1.3935,,,,,195.5,,,0.001,,17.5,,0.2,,,,
,66,,1.394,,,,,195.8,,,0.0005,,17.5,,0.3,,,,
,67,,1.3955,,,,,195.9,,,0.0015,,17.5,,0.1,,,,
,68,,1.3975,,,,,196,,,0.002,,17.5,,0.1,,,,
,,,1.3975,,,,,196,,,,,,,,,,,EP
,69,,1.398,,,,,196.2,,,0.0005,,17.5,,0.2,,,,
,70,,1.398,,,,,196.2,,,0,,17.5,,0,,,,
,71,,1.398,,,,,196.3,,,0,,17.5,,0.1,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 6/12",,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 6/12",,,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],,
,0,,0,,,,,196.6,,,,,17.7,,,,,,
,3,,0.02,,,,,198.2,,0.02,,,17.7,,,,1.6,,
,6,,0.04,,,,,200.1,,0.02,,,17.7,,,,1.9,,
,9,,0.06,,,,,202,,0.02,,,17.7,,,,1.9,,
,12,,0.08,,,,,203.8,,0.02,,,17.7,,,,1.8,,
,15,,0.1,,,,,205.5,,0.02,,,17.7,,,,1.7,,
,18,,0.12,,,,,207,,0.02,,,17.7,,,,1.5,,
,21,,0.14,,,,,208.5,,0.02,,,17.7,,,,1.5,,
,24,,0.16,,,,,209.7,,0.02,,,17.7,,,,1.2,,
,27,,0.18,,,,,210.9,,0.02,,,17.7,,,,1.2,,
,30,,0.2,,,,,212.2,,0.02,,,17.7,,,,1.3,,
,33,,0.22,,,,,213.4,,0.02,,,17.7,,,,1.2,,
,36,,0.24,,,,,214.5,,0.02,,,17.7,,,,1.1,,
,39,,0.26,,,,,215.6,,0.02,,,17.7,,,,1.1,,
,42,,0.28,,,,,216.7,,0.02,,,17.7,,,,1.1,,
,45,,0.3,,,,,217.7,,0.02,,,17.7,,,,1,,
,48,,0.32,,,,,218.7,,0.02,,,17.7,,,,1,,
,51,,0.34,,,,,219.6,,0.02,,,17.7,,,,0.9,,
,54,,0.36,,,,,220.5,,0.02,,,17.7,,,,0.9,,
,57,,0.38,,,,,221.2,,0.02,,,17.7,,,,0.7,,
,60,,0.4,,,,,222.1,,0.02,,,17.7,,,,0.9,,
,63,,0.42,,,,,222.9,,0.02,,,17.7,,,,0.8,,
,66,,0.44,,,,,223.6,,0.02,,,17.7,,,,0.7,,
,70,,0.46,,,,,224.4,,0.02,,,17.8,,,,0.8,,
,72,,0.48,,,,,225.1,,0.02,,,17.8,,,,0.7,,
,76,,0.5,,,,,225.9,,0.02,,,17.8,,,,0.8,,
,79,,0.52,,,,,226.6,,0.02,,,17.8,,,,0.7,,
,82,,0.54,,,,,227.3,,0.02,,,17.8,,,,0.7,,
,85,,0.56,,,,,227.8,,0.02,,,17.8,,,,0.5,,
,88,,0.58,,,,,228.4,,0.02,,,17.8,,,,0.6,,
,91,,0.6,,,,,229.1,,0.02,,,17.8,,,,0.7,,
,94,,0.62,,,,,229.7,,0.02,,,17.8,,,,0.6,,
,97,,0.64,,,,,230.3,,0.02,,,17.8,,,,0.6,,
,100,,0.66,,,,,230.9,,0.02,,,17.8,,,,0.6,,
,103,,0.68,,,,,231.4,,0.02,,,17.8,,,,0.5,,
,106,,0.7,,,,,232,,0.02,,,17.8,,,,0.6,,
,109,,0.72,,,,,232.5,,0.02,,,17.8,,,,0.5,,
,112,,0.74,,,,,233.1,,0.02,,,17.8,,,,0.6,,
,115,,0.76,,,,,233.6,,0.02,,,17.8,,,,0.5,,
,118,,0.78,,,,,234,,0.02,,,17.8,,,,0.4,,
,121,,0.8,,,,,234.5,,0.02,,,17.8,,,,0.5,,
,124,,0.82,,,,,235.1,,0.02,,,17.8,,,,0.6,,
,127,,0.84,,,,,235.5,,0.02,,,17.8,,,,0.4,,
,130,,0.86,,,,,235.9,,0.02,,,17.8,,,,0.4,,
,133,,0.88,,,,,236.5,,0.02,,,17.8,,,,0.6,,
,136,,0.9,,,,,236.9,,0.02,,,17.8,,,,0.4,,
,139,,0.92,,,,,237.4,,0.02,,,17.8,,,,0.5,,
,142,,0.94,,,,,237.8,,0.02,,,17.8,,,,0.4,,
,145,,0.96,,,,,238.3,,0.02,,,17.8,,,,0.5,,
,148,,0.98,,,,,238.6,,0.02,,,17.8,,,,0.3,,
,151,,1,,,,,239.1,,0.02,,,17.8,,,,0.5,,
,154,,1.02,,,,,239.5,,0.02,,,17.8,,,,0.4,,
,157,,1.04,,,,,239.9,,0.02,,,17.8,,,,0.4,,
,160,,1.06,,,,,240.3,,0.02,,,17.8,,,,0.4,,
,163,,1.08,,,,,240.6,,0.02,,,17.8,,,,0.3,,
,166,,1.1,,,,,241,,0.02,,,17.8,,,,0.4,,
,169,,1.12,,,,,241.4,,0.02,,,17.8,,,,0.4,,
,172,,1.14,,,,,241.8,,0.02,,,17.8,,,,0.4,,
,175,,1.16,,,,,242.1,,0.02,,,17.8,,,,0.3,,
,178,,1.18,,,,,242.4,,0.02,,,17.8,,,,0.3,,
,181,,1.2,,,,,242.7,,0.02,,,17.8,,,,0.3,,
,184,,1.22,,,,,243.1,,0.02,,,17.8,,,,0.4,,
,187,,1.24,,,,,243.5,,0.02,,,17.8,,,,0.4,,
