Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-38.8,,,,,,18.7,,,,,,,
,2,,,,-38.9,,,,,,18.7,,,,-0.1,,,
,3,,,,-38.9,,,,,,18.7,,,,0.0,,,
,4,,,,-39.0,,,,,,18.7,,,,-0.1,,,
,5,,,,-39.0,,,,,,18.7,,,,0.0,,,
,6,,,,-39.1,,,,,,18.7,,,,-0.1,,,
,7,,,,-39.1,,,,,,18.7,,,,0.0,,,
,8,,,,-39.2,,,,,,18.7,,,,-0.1,,,
,9,,,,-39.2,,,,,,18.7,,,,0.0,,,
,10,,,,-39.3,,,,,,18.7,,,,-0.1,,,
,11,,,,-39.3,,,,,,18.7,,,,0.0,,,
,12,,,,-39.4,,,,,,18.7,,,,-0.1,,,
,13,,,,-39.4,,,,,,18.7,,,,0.0,,,
,14,,,,-39.5,,,,,,18.7,,,,-0.1,,,
,15,,,,-39.5,,,,,,18.7,,,,0.0,,,
,16,,,,-39.6,,,,,,18.7,,,,-0.1,,,
,17,,,,-39.6,,,,,,18.7,,,,0.0,,,
,18,,,,-39.7,,,,,,18.7,,,,-0.1,,,
,19,,,,-39.7,,,,,,18.7,,,,0.0,,,
,20,,,,-39.8,,,,,,18.7,,,,-0.1,,,
,21,,,,-39.8,,,,,,18.7,,,,0.0,,,
,22,,,,-39.9,,,,,,18.7,,,,-0.1,,,
,23,,,,-39.9,,,,,,18.7,,,,0.0,,,
,24,,,,-40.0,,,,,,18.7,,,,-0.1,,,
,25,,,,-40.0,,,,,,18.7,,,,0.0,,,
,26,,,,-40.1,,,,,,18.7,,,,-0.1,,,
,27,,,,-40.1,,,,,,18.7,,,,0.0,,,
,28,,,,-40.2,,,,,,18.7,,,,-0.1,,,
,29,,,,-40.2,,,,,,18.7,,,,0.0,,,
,30,,,,-40.3,,,,,,18.7,,,,-0.1,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-40.6,,,,,,18.7,,,,,,
,1,0.0010,,,,-41.0,,,0.0010,,,18.7,,-0.4,,,,
,2,0.0050,,,,-41.1,,,0.0040,,,18.7,,-0.1,,,,
,3,0.0110,,,,-41.1,,,0.0060,,,18.7,,0.0,,,,
,4,0.0195,,,,-41.2,,,0.0085,,,18.7,,-0.1,,,,
,5,0.0335,,,,-41.2,,,0.0140,,,18.7,,0.0,,,,
,6,0.0535,,,,-41.3,,,0.0200,,,18.7,,-0.1,,,,
,7,0.0775,,,,-41.3,,,0.0240,,,18.7,,0.0,,,,
,8,0.1115,,,,-41.3,,,0.0340,,,18.7,,0.0,,,,
,9,0.1530,,,,-41.4,,,0.0415,,,18.7,,-0.1,,,,
,10,0.2045,,,,-41.5,,,0.0515,,,18.7,,-0.1,,,,
,11,0.2670,,,,-41.5,,,0.0625,,,18.7,,0.0,,,,
,12,0.3415,,,,-41.6,,,0.0745,,,18.7,,-0.1,,,,
,13,0.4185,,,,-38.8,,,0.0770,,,18.7,,2.8,,,,
,14,0.5170,,,,-19.5,,,0.0985,,,18.7,,19.3,,,,
,15,0.6290,,,,15.4,,,0.1120,,,18.7,,34.9,,,,
,16,0.7540,,,,47.1,,,0.1250,,,18.7,,31.7,,,,
,17,0.8915,,,,72.7,,,0.1375,,,18.7,,25.6,,,,
,18,1.0055,,,,95.4,,,0.1140,,,18.7,,22.7,,,,
,19,1.0090,,,,98.1,,,0.0035,,,18.8,,2.7,,,,
,20,1.0120,,,,90.7,,,0.0030,,,18.8,,-7.4,,,,
,21,1.0160,,,,85.1,,,0.0040,,,18.8,,-5.6,,,,
,22,1.0220,,,,82.8,,,0.0060,,,18.8,,-2.3,,,,
,23,1.0305,,,,83.2,,,0.0085,,,18.8,,0.4,,,,
,24,1.0425,,,,85.0,,,0.0120,,,18.8,,1.8,,,,
,25,1.0600,,,,89.4,,,0.0175,,,18.8,,4.4,,,,
,26,1.0825,,,,94.5,,,0.0225,,,18.8,,5.1,,,,
,27,1.1080,,,,99.5,,,0.0255,,,18.8,,5.0,,,,
,28,1.1365,,,,105.0,,,0.0285,,,18.8,,5.5,,,,
,29,1.1670,,,,111.2,,,0.0305,,,18.8,,6.2,,,,
,30,1.1965,,,,116.3,,,0.0295,,,18.8,,5.1,,,,
,31,1.2300,,,,124.4,,,0.0335,,,18.8,,8.1,,,,
,32,1.2535,,,,131.0,,,0.0235,,,18.8,,6.6,,,,
,33,1.2675,,,,134.3,,,0.0140,,,18.8,,3.3,,,,
,34,1.2835,,,,137.4,,,0.0160,,,18.8,,3.1,,,,
,35,1.3025,,,,142.4,,,0.0190,,,18.8,,5.0,,,,
,36,1.3180,,,,148.1,,,0.0155,,,18.8,,5.7,,,,
,37,1.3250,,,,152.0,,,0.0070,,,18.8,,3.9,,,,
,38,1.3300,,,,154.3,,,0.0050,,,18.8,,2.3,,,,
,39,1.3360,,,,156.0,,,0.0060,,,18.8,,1.7,,,,
,40,1.3445,,,,158.2,,,0.0085,,,18.8,,2.2,,,,
,41,1.3540,,,,160.9,,,0.0095,,,18.8,,2.7,,,,
,42,1.3625,,,,163.5,,,0.0085,,,18.8,,2.6,,,,
,43,1.3700,,,,166.2,,,0.0075,,,18.8,,2.7,,,,
,44,1.3745,,,,167.8,,,0.0045,,,18.8,,1.6,,,,
,45,1.3785,,,,168.9,,,0.0040,,,18.8,,1.1,,,,
,46,1.3840,,,,170.0,,,0.0055,,,18.8,,1.1,,,,
,47,1.3910,,,,171.4,,,0.0070,,,18.8,,1.4,,,,
,48,1.3970,,,,172.9,,,0.0060,,,18.8,,1.5,,,,
,49,1.4005,,,,174.1,,,0.0035,,,18.8,,1.2,,,,
,50,1.4035,,,,174.9,,,0.0030,,,18.8,,0.8,,,,
,51,1.4065,,,,175.5,,,0.0030,,,18.8,,0.6,,,,
,52,1.4105,,,,176.3,,,0.0040,,,18.8,,0.8,,,,
,53,1.4150,,,,177.1,,,0.0045,,,18.8,,0.8,,,,
,54,1.4180,,,,177.9,,,0.0030,,,18.8,,0.8,,,,
,55,1.4205,,,,178.5,,,0.0025,,,18.8,,0.6,,,,
,56,1.4230,,,,179.0,,,0.0025,,,18.8,,0.5,,,,
,57,1.4255,,,,179.4,,,0.0025,,,18.8,,0.4,,,,
,58,1.4280,,,,180.0,,,0.0025,,,18.8,,0.6,,,,
,59,1.4305,,,,180.3,,,0.0025,,,18.8,,0.3,,,,
,60,1.4325,,,,180.8,,,0.0020,,,18.8,,0.5,,,,
,61,1.4350,,,,181.2,,,0.0025,,,18.8,,0.4,,,,
,62,1.4360,,,,181.5,,,0.0010,,,18.8,,0.3,,,,
,63,1.4375,,,,181.7,,,0.0015,,,18.8,,0.2,,,,
,64,1.4400,,,,182.0,,,0.0025,,,18.8,,0.3,,,,
,65,1.4405,,,,182.3,,,0.0005,,,18.8,,0.3,,,,
,66,1.4420,,,,182.3,,,0.0015,,,18.8,,0.0,,,,
,67,1.4450,,,,182.6,,,0.0030,,,18.8,,0.3,,,,
,68,1.4455,,,,183.0,,,0.0005,,,18.8,,0.4,,,,
,,1.4455,,,,183.0,,,,,,,,,,,,EP
,69,1.4460,,,,183.0,,,0.0005,,,18.8,,0.0,,,,
,70,1.4460,,,,183.0,,,0.0000,,,18.8,,0.0,,,,
,71,1.4465,,,,183.0,,,0.0005,,,18.8,,0.0,,,,
,72,1.4465,,,,183.0,,,0.0000,,,18.8,,0.0,,,,
,73,1.4475,,,,183.0,,,0.0010,,,18.8,,0.0,,,,
,74,1.4480,,,,183.1,,,0.0005,,,18.8,,0.1,,,,
,75,1.4480,,,,183.1,,,0.0000,,,18.8,,0.0,,,,
,76,1.4480,,,,183.1,,,0.0000,,,18.8,,0.0,,,,
,76,1.4480,,,,183.0,,,0.0000,,,18.8,,-0.1,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,157.9,,,,,19.2,,,,,
,3,,0.0200,,,,,163.8,,0.0200,,,19.2,,,,5.9,
,6,,0.0400,,,,,169.6,,0.0200,,,19.2,,,,5.8,
,9,,0.0600,,,,,175.1,,0.0200,,,19.2,,,,5.5,
,12,,0.0800,,,,,179.7,,0.0200,,,19.2,,,,4.6,
,15,,0.1000,,,,,184.0,,0.0200,,,19.2,,,,4.3,
,18,,0.1200,,,,,187.5,,0.0200,,,19.2,,,,3.5,
,21,,0.1400,,,,,190.8,,0.0200,,,19.2,,,,3.3,
,24,,0.1600,,,,,193.5,,0.0200,,,19.2,,,,2.7,
,27,,0.1800,,,,,195.9,,0.0200,,,19.2,,,,2.4,
,30,,0.2000,,,,,198.1,,0.0200,,,19.2,,,,2.2,
,33,,0.2200,,,,,200.3,,0.0200,,,19.2,,,,2.2,
,36,,0.2400,,,,,202.3,,0.0200,,,19.2,,,,2.0,
,39,,0.2600,,,,,204.1,,0.0200,,,19.2,,,,1.8,
,42,,0.2800,,,,,206.0,,0.0200,,,19.2,,,,1.9,
,45,,0.3000,,,,,207.6,,0.0200,,,19.2,,,,1.6,
,48,,0.3200,,,,,209.2,,0.0200,,,19.2,,,,1.6,
,51,,0.3400,,,,,210.6,,0.0200,,,19.2,,,,1.4,
,54,,0.3600,,,,,212.0,,0.0200,,,19.2,,,,1.4,
,58,,0.3800,,,,,213.2,,0.0200,,,19.2,,,,1.2,
,60,,0.4000,,,,,214.3,,0.0200,,,19.2,,,,1.1,
,64,,0.4200,,,,,215.5,,0.0200,,,19.2,,,,1.2,
,66,,0.4400,,,,,216.6,,0.0200,,,19.2,,,,1.1,
,70,,0.4600,,,,,217.7,,0.0200,,,19.2,,,,1.1,
,72,,0.4800,,,,,218.8,,0.0200,,,19.2,,,,1.1,
,76,,0.5000,,,,,219.8,,0.0200,,,19.2,,,,1.0,
,78,,0.5200,,,,,220.8,,0.0200,,,19.2,,,,1.0,
,82,,0.5400,,,,,221.7,,0.0200,,,19.2,,,,0.9,
,85,,0.5600,,,,,222.6,,0.0200,,,19.2,,,,0.9,
,88,,0.5800,,,,,223.4,,0.0200,,,19.2,,,,0.8,
,91,,0.6000,,,,,224.2,,0.0200,,,19.2,,,,0.8,
,94,,0.6200,,,,,225.0,,0.0200,,,19.2,,,,0.8,
,97,,0.6400,,,,,225.7,,0.0200,,,19.2,,,,0.7,
,100,,0.6600,,,,,226.5,,0.0200,,,19.2,,,,0.8,
,103,,0.6800,,,,,227.3,,0.0200,,,19.2,,,,0.8,
,106,,0.7000,,,,,228.0,,0.0200,,,19.3,,,,0.7,
,109,,0.7200,,,,,228.7,,0.0200,,,19.3,,,,0.7,
,112,,0.7400,,,,,229.4,,0.0200,,,19.3,,,,0.7,
,115,,0.7600,,,,,230.0,,0.0200,,,19.3,,,,0.6,
,118,,0.7800,,,,,230.6,,0.0200,,,19.3,,,,0.6,
,121,,0.8000,,,,,231.2,,0.0200,,,19.3,,,,0.6,
,124,,0.8200,,,,,231.8,,0.0200,,,19.3,,,,0.6,
,127,,0.8400,,,,,232.4,,0.0200,,,19.3,,,,0.6,
,130,,0.8600,,,,,233.0,,0.0200,,,19.3,,,,0.6,
,133,,0.8800,,,,,233.6,,0.0200,,,19.3,,,,0.6,
,136,,0.9000,,,,,234.2,,0.0200,,,19.3,,,,0.6,
,139,,0.9200,,,,,234.7,,0.0200,,,19.3,,,,0.5,
,142,,0.9400,,,,,235.3,,0.0200,,,19.3,,,,0.6,
,145,,0.9600,,,,,235.7,,0.0200,,,19.3,,,,0.4,
,148,,0.9800,,,,,236.3,,0.0200,,,19.3,,,,0.6,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 2/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/10",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-58.2,,,,,,19.3,,,,,,,
,2,,,,-58.2,,,,,,19.3,,,,0.0,,,
,3,,,,-58.2,,,,,,19.3,,,,0.0,,,
,4,,,,-58.3,,,,,,19.3,,,,-0.1,,,
,5,,,,-58.3,,,,,,19.3,,,,0.0,,,
,6,,,,-58.3,,,,,,19.3,,,,0.0,,,
,7,,,,-58.3,,,,,,19.3,,,,0.0,,,
,8,,,,-58.3,,,,,,19.3,,,,0.0,,,
,9,,,,-58.3,,,,,,19.3,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 2/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/10",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-58.4,,,,,,19.3,,,,,,
,1,0.0010,,,,-58.4,,,0.0010,,,19.3,,0.0,,,,
,2,0.0050,,,,-58.3,,,0.0040,,,19.3,,0.1,,,,
,3,0.0110,,,,-58.0,,,0.0060,,,19.3,,0.3,,,,
,4,0.0195,,,,-57.2,,,0.0085,,,19.3,,0.8,,,,
,5,0.0335,,,,-55.4,,,0.0140,,,19.3,,1.8,,,,
,6,0.0540,,,,-52.4,,,0.0205,,,19.3,,3.0,,,,
,7,0.0780,,,,-48.1,,,0.0240,,,19.3,,4.3,,,,
,8,0.1115,,,,-40.1,,,0.0335,,,19.3,,8.0,,,,
,9,0.1530,,,,-29.7,,,0.0415,,,19.3,,10.4,,,,
,10,0.2035,,,,-17.2,,,0.0505,,,19.3,,12.5,,,,
,11,0.2650,,,,-2.0,,,0.0615,,,19.3,,15.2,,,,
,12,0.3375,,,,14.5,,,0.0725,,,19.3,,16.5,,,,
,13,0.4135,,,,29.0,,,0.0760,,,19.3,,14.5,,,,
,14,0.5110,,,,44.1,,,0.0975,,,19.3,,15.1,,,,
,15,0.6210,,,,62.7,,,0.1100,,,19.3,,18.6,,,,
,16,0.7445,,,,80.1,,,0.1235,,,19.3,,17.4,,,,
,17,0.8195,,,,97.3,,,0.0750,,,19.3,,17.2,,,,
,18,0.8255,,,,93.2,,,0.0060,,,19.3,,-4.1,,,,
,19,0.8320,,,,88.0,,,0.0065,,,19.3,,-5.2,,,,
,20,0.8415,,,,86.8,,,0.0095,,,19.3,,-1.2,,,,
,21,0.8555,,,,87.9,,,0.0140,,,19.3,,1.1,,,,
,22,0.8760,,,,92.9,,,0.0205,,,19.3,,5.0,,,,
,23,0.9000,,,,98.3,,,0.0240,,,19.3,,5.4,,,,
,24,0.9270,,,,103.3,,,0.0270,,,19.3,,5.0,,,,
,25,0.9525,,,,111.3,,,0.0255,,,19.3,,8.0,,,,
,26,0.9825,,,,117.1,,,0.0300,,,19.3,,5.8,,,,
,27,1.0130,,,,125.4,,,0.0305,,,19.3,,8.3,,,,
,28,1.0330,,,,132.2,,,0.0200,,,19.3,,6.8,,,,
,29,1.0440,,,,134.2,,,0.0110,,,19.3,,2.0,,,,
,30,1.0560,,,,137.6,,,0.0120,,,19.3,,3.4,,,,
,31,1.0715,,,,143.8,,,0.0155,,,19.3,,6.2,,,,
,32,1.0815,,,,150.3,,,0.0100,,,19.3,,6.5,,,,
,33,1.0845,,,,153.0,,,0.0030,,,19.3,,2.7,,,,
,34,1.0875,,,,154.6,,,0.0030,,,19.3,,1.6,,,,
,35,1.0915,,,,156.2,,,0.0040,,,19.3,,1.6,,,,
,36,1.0970,,,,158.1,,,0.0055,,,19.3,,1.9,,,,
,37,1.1045,,,,161.2,,,0.0075,,,19.3,,3.1,,,,
,38,1.1110,,,,163.7,,,0.0065,,,19.3,,2.5,,,,
,39,1.1165,,,,166.2,,,0.0055,,,19.3,,2.5,,,,
,40,1.1200,,,,168.1,,,0.0035,,,19.3,,1.9,,,,
,41,1.1230,,,,169.4,,,0.0030,,,19.3,,1.3,,,,
,42,1.1265,,,,170.6,,,0.0035,,,19.3,,1.2,,,,
,43,1.1310,,,,171.8,,,0.0045,,,19.3,,1.2,,,,
,44,1.1355,,,,173.2,,,0.0045,,,19.3,,1.4,,,,
,45,1.1390,,,,174.4,,,0.0035,,,19.3,,1.2,,,,
,46,1.1415,,,,175.5,,,0.0025,,,19.3,,1.1,,,,
,47,1.1445,,,,176.2,,,0.0030,,,19.3,,0.7,,,,
,48,1.1470,,,,176.8,,,0.0025,,,19.3,,0.6,,,,
,49,1.1495,,,,177.7,,,0.0025,,,19.3,,0.9,,,,
,50,1.1520,,,,178.4,,,0.0025,,,19.3,,0.7,,,,
,51,1.1545,,,,179.0,,,0.0025,,,19.3,,0.6,,,,
,52,1.1570,,,,179.6,,,0.0025,,,19.3,,0.6,,,,
,53,1.1595,,,,180.2,,,0.0025,,,19.3,,0.6,,,,
,54,1.1615,,,,180.7,,,0.0020,,,19.3,,0.5,,,,
,55,1.1620,,,,181.1,,,0.0005,,,19.3,,0.4,,,,
,56,1.1630,,,,181.3,,,0.0010,,,19.3,,0.2,,,,
,57,1.1665,,,,181.6,,,0.0035,,,19.3,,0.3,,,,
,58,1.1675,,,,182.2,,,0.0010,,,19.3,,0.6,,,,
,59,1.1675,,,,182.3,,,0.0000,,,19.3,,0.1,,,,
,60,1.1695,,,,182.5,,,0.0020,,,19.3,,0.2,,,,
,61,1.1715,,,,182.8,,,0.0020,,,19.3,,0.3,,,,
,62,1.1715,,,,183.1,,,0.0000,,,19.3,,0.3,,,,
,63,1.1715,,,,183.2,,,0.0000,,,19.3,,0.1,,,,
,64,1.1715,,,,183.3,,,0.0000,,,19.3,,0.1,,,,
,65,1.1715,,,,183.3,,,0.0000,,,19.3,,0.0,,,,
,,1.1715,,,,183.0,,,,,,,,,,,,EP
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 2/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 2/10",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,183.2,,,,,19.7,,,,,
,3,,0.0200,,,,,186.5,,0.0200,,,19.7,,,,3.3,
,6,,0.0400,,,,,190.1,,0.0200,,,19.7,,,,3.6,
,9,,0.0600,,,,,193.3,,0.0200,,,19.7,,,,3.2,
,12,,0.0800,,,,,196.2,,0.0200,,,19.7,,,,2.9,
,15,,0.1000,,,,,198.9,,0.0200,,,19.7,,,,2.7,
,18,,0.1200,,,,,201.3,,0.0200,,,19.7,,,,2.4,
,21,,0.1400,,,,,203.5,,0.0200,,,19.7,,,,2.2,
,24,,0.1600,,,,,205.4,,0.0200,,,19.7,,,,1.9,
,27,,0.1800,,,,,207.1,,0.0200,,,19.7,,,,1.7,
,30,,0.2000,,,,,208.8,,0.0200,,,19.7,,,,1.7,
,33,,0.2200,,,,,210.4,,0.0200,,,19.7,,,,1.6,
,36,,0.2400,,,,,211.9,,0.0200,,,19.7,,,,1.5,
,39,,0.2600,,,,,213.4,,0.0200,,,19.7,,,,1.5,
,42,,0.2800,,,,,214.8,,0.0200,,,19.7,,,,1.4,
,45,,0.3000,,,,,216.1,,0.0200,,,19.7,,,,1.3,
,48,,0.3200,,,,,217.4,,0.0200,,,19.7,,,,1.3,
,51,,0.3400,,,,,218.5,,0.0200,,,19.7,,,,1.1,
,54,,0.3600,,,,,219.6,,0.0200,,,19.7,,,,1.1,
,57,,0.3800,,,,,220.6,,0.0200,,,19.7,,,,1.0,
,60,,0.4000,,,,,221.6,,0.0200,,,19.7,,,,1.0,
,63,,0.4200,,,,,222.6,,0.0200,,,19.7,,,,1.0,
,66,,0.4400,,,,,223.5,,0.0200,,,19.7,,,,0.9,
,70,,0.4600,,,,,224.4,,0.0200,,,19.7,,,,0.9,
,72,,0.4800,,,,,225.3,,0.0200,,,19.7,,,,0.9,
,76,,0.5000,,,,,226.2,,0.0200,,,19.7,,,,0.9,
,78,,0.5200,,,,,227.0,,0.0200,,,19.7,,,,0.8,
,82,,0.5400,,,,,227.8,,0.0200,,,19.7,,,,0.8,
,85,,0.5600,,,,,228.6,,0.0200,,,19.7,,,,0.8,
,88,,0.5800,,,,,229.3,,0.0200,,,19.7,,,,0.7,
,91,,0.6000,,,,,230.0,,0.0200,,,19.7,,,,0.7,
,94,,0.6200,,,,,230.7,,0.0200,,,19.7,,,,0.7,
,97,,0.6400,,,,,231.4,,0.0200,,,19.7,,,,0.7,
,100,,0.6600,,,,,232.1,,0.0200,,,19.7,,,,0.7,
,103,,0.6800,,,,,232.7,,0.0200,,,19.7,,,,0.6,
,106,,0.7000,,,,,233.4,,0.0200,,,19.7,,,,0.7,
,109,,0.7200,,,,,234.0,,0.0200,,,19.7,,,,0.6,
,112,,0.7400,,,,,234.6,,0.0200,,,19.7,,,,0.6,
,115,,0.7600,,,,,235.2,,0.0200,,,19.7,,,,0.6,
,118,,0.7800,,,,,235.8,,0.0200,,,19.7,,,,0.6,
,121,,0.8000,,,,,236.3,,0.0200,,,19.7,,,,0.5,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 3/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/10",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-40.9,,,,,,19.4,,,,,,,
,2,,,,-40.9,,,,,,19.4,,,,0.0,,,
,3,,,,-40.9,,,,,,19.4,,,,0.0,,,
,4,,,,-40.9,,,,,,19.4,,,,0.0,,,
,5,,,,-41.0,,,,,,19.4,,,,-0.1,,,
,6,,,,-41.0,,,,,,19.4,,,,0.0,,,
,7,,,,-41.0,,,,,,19.4,,,,0.0,,,
,8,,,,-41.0,,,,,,19.4,,,,0.0,,,
,9,,,,-41.0,,,,,,19.4,,,,0.0,,,
,10,,,,-41.0,,,,,,19.4,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 3/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 3/10",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-41.1,,,,,,19.4,,,,,,
,1,0.0010,,,,-41.2,,,0.0010,,,19.4,,-0.1,,,,
,2,0.0050,,,,-41.1,,,0.0040,,,19.4,,0.1,,,,
,3,0.0110,,,,-40.8,,,0.0060,,,19.4,,0.3,,,,
,4,0.0195,,,,-39.8,,,0.0085,,,19.4,,1.0,,,,
,5,0.0335,,,,-37.5,,,0.0140,,,19.4,,2.3,,,,
,6,0.0540,,,,-33.5,,,0.0205,,,19.4,,4.0,,,,
,7,0.0780,,,,-27.5,,,0.0240,,,19.4,,6.0,,,,
,8,0.1115,,,,-18.7,,,0.0335,,,19.4,,8.8,,,,
,9,0.1530,,,,-8.2,,,0.0415,,,19.4,,10.5,,,,
,10,0.2040,,,,2.0,,,0.0510,,,19.4,,10.2,,,,
,11,0.2660,,,,14.5,,,0.0620,,,19.4,,12.5,,,,
,12,0.3400,,,,26.4,,,0.0740,,,19.4,,11.9,,,,
,13,0.4170,,,,37.4,,,0.0770,,,19.4,,11.0,,,,
,14,0.5160,,,,51.0,,,0.0990,,,19.4,,13.6,,,,
,15,0.6270,,,,65.5,,,0.1110,,,19.4,,14.5,,,,
